Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
4.1,us7000it0d,1020.9225351073958,,INCONCLUSIVE,,
4.1,ak022epk1ihi,2375.0947283951364,,FALSE,,
4.2,us7000imzs,626.4006962377605,,FALSE,,
4.2,us7000iln9,2371.2825560007013,,FALSE,,
4.1,ak022dytrpaq,2413.679569813042,,FALSE,,
4.2,ak022dxdnf6d,2256.2068726498933,,FALSE,,
4.1,nc73798306,799.6255040133858,,INCONCLUSIVE,,
4.1,us6000itdq,707.087105673276,,FALSE,,
4.2,ak022d0f2h3p,1501.0030750847388,,FALSE,,
4.2,ak022cyfkbwn,1571.348704757266,,FALSE,,
4.1,ak022ctqflju,2240.859361690609,,FALSE,,
4.2,us6000ircv,1870.0055384857862,,FALSE,,
4.1,ak022cjvjpsi,2415.9262366256467,,FALSE,,
4.1,ak022c4o9ui7,2444.897551105073,,FALSE,,
4.2,ak022c1fq39l,2453.345642287709,,FALSE,,
4.29,nc71129069,1019.4361732329797,,FALSE,,
4.1,ak022bro1hab,2264.059260096112,,FALSE,,
4.1,us7000i7nq,2342.3299356834586,,FALSE,,
4.2,ak022b2q4dl2,2191.6527645922465,,FALSE,,
4.1,ak022auilau5,2418.7542888496337,,FALSE,,
4.2,ak022ahfnyru,2334.5248410827962,,norecord,,
4.2,ak022a29vrl5,2300.0729225314826,,FALSE,,
4.2,tx2022orir,2336.269225390986,,FALSE,,
4.29,ci40069263,1810.4394387247573,,INCONCLUSIVE,,
4.24,nc73761796,912.1178003319277,,FALSE,,
4.1,ak022970mhvc,2389.6401513750984,,FALSE,,
4.2,ak0228jtsg0o,2513.6845018901054,,norecord,,
4.2,us6000hyvi,2804.438052142398,,norecord,,
4.19,nc73752031,980.8510895375756,,norecord,,
4.2,us7000hij8,705.1691378188282,,,,
4.2,us7000hhj9,710.6335931770957,,norecord,,
4.1,us7000hhj0,686.1073912859308,,norecord,,
4.2,us7000hhih,693.9401328797042,,norecord,,
4.2,us7000hgyx,2879.009286605515,,norecord,,
4.2,us7000hga1,2606.4999260172517,,norecord,,
4.1,tx2022ldmr,2330.398865548227,,norecord,,
4.2,us7000heu1,2684.820982949899,,INCONCLUSIVE,,
4.2,us7000heth,2738.6462931072674,,FALSE,,
4.1,ak02271e1tit,2458.191608020155,,FALSE,,
4.14,nc73740051,1064.1480447902343,,FALSE,,
4.2,us7000he30,2634.1103123578373,,FALSE,,
4.2,us7000he0s,2641.438547419284,,FALSE,,
4.28,ci40027143,1398.5879620038756,,norecord,,
4.2,ak022690cqso,1587.5523218241497,,FALSE,,
4.1,us6000hkr4,679.0679913089658,,FALSE,,
4.22,uu60497322,1005.2475204231869,,INCONCLUSIVE,,
4.1,us7000h83p,953.8011745177681,,FALSE,,
4.2,us7000h6zh,2763.4680607048163,,norecord,,
4.1,ak0225ijhvyy,2310.234763123659,,norecord,,
4.1,us7000h5y9,2695.5603371355664,,norecord,,
4.1,us6000hg3m,1971.9406265936093,,norecord,,
4.1,us7000h1h8,2768.609092776229,no,norecord,,
4.2,us7000h0uz,660.924366567529,,FALSE,,
4.2,ak0223wvhy9y,2464.176919127202,,FALSE,,
4.1,us6000h5jh,2714.718312,,norecord,,
3.9,us7000j1kj,611.0568072773164,,TRUE,,
3.9,us7000j5l9,2862.41836571168,,FALSE,,
3.9,nc73827436,1231.6268335029868,,INCONCLUSIVE,,
3.9,us7000j35i,671.6358501261195,,TRUE,,
3.9,ak022gjpe38p,2386.457114708214,,FALSE,,
3.99,nc73821636,796.1598540516112,,INCONCLUSIVE,,
4.0,ak022g68dit8,2418.4158060869336,,FALSE,,
